StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,WorkerID,Consent,PUtt_PExp_A_F_GT_1,PUtt_PExp_A_F_check,NUtt_PExp_W_M_GT_1,NUtt_PExp_W_M_check,PUtt_NExp_B_F_GT_1,PUtt_NExp_B_F_check,NUtt_NExp_L_M_GT_1,NUtt_NExp_L_M_check,NUtt_NExp_B_F_GT_1,NUtt_NExp_B_F_check,PUtt_NExp_L_M_GT_1,PUtt_NExp_L_M_check,PUtt_NExp_W_M_GT_1,PUtt_NExp_W_M_check,NUtt_PExp_B_F_GT_1,NUtt_PExp_B_F_check,NUtt_PExp_L_M_GT_1,NUtt_PExp_L_M_check,NUtt_NExp_W_M_GT_1,NUtt_NExp_W_M_check,NUtt_PExp_A_F_GT_1,NUtt_PExp_A_F_check,PUtt_PExp_W_M_GT_1,PUtt_PExp_W_M_check,PUtt_PExp_B_F_GT_1,PUtt_PExp_B_F_check,PUtt_PExp_L_M_GT_1,PUtt_PExp_L_M_check,PUtt_NExp_A_F_GT_1,PUtt_NExp_A_F_check,NUtt_NExp_A_F_GT_1,NUtt_NExp_A_F_check,age,gender,Q289,language,other
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your unique Prolific ID:,"Consent Statement
 By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact Michael C. Frank at mcfrank@stanford.edu. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.",How do you think Casey's salad tasted from 1 to 6 stars?,"Just to check, the letters ""S"" are forming what letter in the image below?",How do you think Jordan's sandwich tasted from 1 to 6 stars?,"Just to check, the letters ""U"" are forming what letter in the image below?",How do you think Riley's soup tasted from 1 to 6 stars?,"Just to check, the letters ""L"" are forming what letter in the image below?",How do you think Robin's pasta tasted from 1 to 6 stars?,"Just to check, the letters ""O"" are forming what letter in the image below?",How do you think Riley's soup tasted from 1 to 6 stars?,"Just to check, the letters ""L"" are forming what letter in the image below?",How do you think Robin's pasta tasted from 1 to 6 stars?,"Just to check, the letters ""O"" are forming what letter in the image below?",How do you think Jordan's sandwich tasted from 1 to 6 stars?,"Just to check, the letters ""U"" are forming what letter in the image below?",How do you think Riley's soup tasted from 1 to 6 stars?,"Just to check, the letters ""L"" are forming what letter in the image below?",How do you think Robin's pasta tasted from 1 to 6 stars?,"Just to check, the letters ""O"" are forming what letter in the image below?",How do you think Jordan's sandwich tasted from 1 to 6 stars?,"Just to check, the letters ""U"" are forming what letter in the image below?",How do you think Casey's salad tasted from 1 to 6 stars?,"Just to check, the letters ""S"" are forming what letter in the image below?",How do you think Jordan's sandwich tasted from 1 to 6 stars?,"Just to check, the letters ""U"" are forming what letter in the image below?",How do you think Riley soup tasted from 1 to 6 stars?,"Just to check, the letters ""L"" are forming what letter in the image below?",How do you think Robin's pasta tasted from 1 to 6 stars?,"Just to check, the letters ""O"" are forming what letter in the image below?",How do you think Casey's salad tasted from 1 to 6 stars?,"Just to check, the letters ""S"" are forming what letter in the image below?",How do you think Casey's salad tasted from 1 to 6 stars?,"Just to check, the letters ""S"" are forming what letter in the image below?",Age:,Gender:,Race:,Native language:,"Do you have anything to let us know? (For example, was there any question that's unclear to you? Did you have any difficulty completing the survey? )"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID150_TEXT""}","{""ImportId"":""QID309""}","{""ImportId"":""QID293_1""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID294_1""}","{""ImportId"":""QID193_TEXT""}","{""ImportId"":""QID295_1""}","{""ImportId"":""QID164_TEXT""}","{""ImportId"":""QID296_1""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID297_1""}","{""ImportId"":""QID166_TEXT""}","{""ImportId"":""QID298_1""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID299_1""}","{""ImportId"":""QID168_TEXT""}","{""ImportId"":""QID300_1""}","{""ImportId"":""QID169_TEXT""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID170_TEXT""}","{""ImportId"":""QID302_1""}","{""ImportId"":""QID171_TEXT""}","{""ImportId"":""QID303_1""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID304_1""}","{""ImportId"":""QID173_TEXT""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID306_1""}","{""ImportId"":""QID175_TEXT""}","{""ImportId"":""QID307_1""}","{""ImportId"":""QID176_TEXT""}","{""ImportId"":""QID308_1""}","{""ImportId"":""QID177_TEXT""}","{""ImportId"":""QID156_TEXT""}","{""ImportId"":""QID157""}","{""ImportId"":""QID310""}","{""ImportId"":""QID158_TEXT""}","{""ImportId"":""QID161_TEXT""}"
12/18/20 10:30,12/18/20 10:33,0,71.204.171.245,100,185,1,12/18/20 10:33,R_3IaiY9rVKQbrMs9,,,,,37.3973999,-122.0009995,anonymous,EN,,,6,H,1,L,1,O,1,U,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,IDK,no
12/18/20 10:07,12/18/20 10:12,0,73.39.106.251,98,310,0,12/25/20 10:12,R_XHCyP94OEBPDMyt,,,,,,,anonymous,EN,,,6,H,3,L,2,O,1,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/20 11:29,12/21/20 16:08,0,71.204.171.245,94,275894,0,12/28/20 16:08,R_2YkS0FJgUCKiptV,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/21 14:04,1/13/21 14:06,0,73.171.41.169,100,124,1,1/13/21 14:06,R_2ah3JsoUhftphO0,,,,,37.25320435,-80.43470001,anonymous,EN,5fff5239ecbb6006435a6916,4,,,,,,,,,1,O,1,U,,,,,,,,,1,H,3,L,,,,,,,,,21,2,6,English,
1/13/21 14:20,1/13/21 14:22,0,98.202.145.134,100,133,1,1/13/21 14:22,R_31XhBCLM7mClTcX,,,,,40.60380554,-112.0404968,anonymous,EN,5cf9daa3d66e12001c2613a4,4,,,,,,,,,1,O,,,,,,,3,U,,,,,5,L,,,,,2,H,,,29,2,6,English,No
1/13/21 14:20,1/13/21 14:22,0,139.138.88.71,100,150,1,1/13/21 14:22,R_1DZOx8PgLIhMroe,,,,,26.27290344,-80.26000214,anonymous,EN,5f10a05b164f820ff1eb8c7e,4,4,H,,,,,,,1,O,,,2,L,,,5,U,,,,,,,,,,,,,,,26,2,2,Cantonese and Mandarin,
1/13/21 14:22,1/13/21 14:24,0,173.73.17.228,100,134,1,1/13/21 14:24,R_1I4wr9YBFvDhsQF,,,,,38.87539673,-77.38529968,anonymous,EN,5fdfbb14f314ef052a8673ae,4,,,3,L,,,1,u,,,,,,,,,,,,,,,,,5,o,,,2,h,,,20,1,"4,6",English,
1/13/21 14:39,1/13/21 14:41,0,64.1.53.105,100,139,1,1/13/21 14:41,R_Zk373mmwFmUgDOV,,,,,37.75480652,-84.29850006,anonymous,EN,5e549e6fb55e674a77960f73,4,,,,,,,,,,,2,U,,,,,,,1,L,3,H,,,6,O,,,,,,,51,1,6,English,
